2022-11-12 00:02:14.584 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition shoppingcart-service applying {_genkey_0=/api/shoppingcart/**} to Path
2022-11-12 00:02:14.584 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition shoppingcart-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:02:14.584 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: shoppingcart-service
2022-11-12 00:02:14.584 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition auth-service applying {_genkey_0=/api/auth/**} to Path
2022-11-12 00:02:14.584 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition auth-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:02:14.584 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: auth-service
2022-11-12 00:02:14.584 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition search-service applying {_genkey_0=/api/search/**} to Path
2022-11-12 00:02:14.585 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition search-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:02:14.585 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: search-service
2022-11-12 00:02:14.585 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition product applying {_genkey_0=/api/product/**} to Path
2022-11-12 00:02:14.585 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition product applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:02:14.585 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: product
2022-11-12 00:02:14.585 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition coupon applying {_genkey_0=/api/coupon/**} to Path
2022-11-12 00:02:14.585 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition coupon applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:02:14.585 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: coupon
2022-11-12 00:02:14.585 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition member applying {_genkey_0=/api/member/**} to Path
2022-11-12 00:02:14.585 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition member applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:02:14.585 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: member
2022-11-12 00:02:14.585 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition order applying {_genkey_0=/api/order/**} to Path
2022-11-12 00:02:14.586 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition order applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:02:14.586 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: order
2022-11-12 00:02:14.586 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition ware applying {_genkey_0=/api/ware/**} to Path
2022-11-12 00:02:14.586 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition ware applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:02:14.586 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: ware
2022-11-12 00:02:14.586 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition oss applying {_genkey_0=/api/oss/**} to Path
2022-11-12 00:02:14.586 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition oss applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:02:14.586 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: oss
2022-11-12 00:02:14.586 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition renren-fast applying {_genkey_0=/api/**} to Path
2022-11-12 00:02:14.586 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition renren-fast applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:02:14.586 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: renren-fast
2022-11-12 00:02:44.587 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition payment-service applying {_genkey_0=/api/payment/**} to Path
2022-11-12 00:02:44.588 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition payment-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:02:44.588 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: payment-service
2022-11-12 00:02:44.588 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition shoppingcart-service applying {_genkey_0=/api/shoppingcart/**} to Path
2022-11-12 00:02:44.588 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition shoppingcart-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:02:44.588 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: shoppingcart-service
2022-11-12 00:02:44.588 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition auth-service applying {_genkey_0=/api/auth/**} to Path
2022-11-12 00:02:44.589 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition auth-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:02:44.589 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: auth-service
2022-11-12 00:02:44.589 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition search-service applying {_genkey_0=/api/search/**} to Path
2022-11-12 00:02:44.589 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition search-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:02:44.589 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: search-service
2022-11-12 00:02:44.589 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition product applying {_genkey_0=/api/product/**} to Path
2022-11-12 00:02:44.589 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition product applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:02:44.589 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: product
2022-11-12 00:02:44.589 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition coupon applying {_genkey_0=/api/coupon/**} to Path
2022-11-12 00:02:44.590 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition coupon applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:02:44.590 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: coupon
2022-11-12 00:02:44.590 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition member applying {_genkey_0=/api/member/**} to Path
2022-11-12 00:02:44.590 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition member applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:02:44.590 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: member
2022-11-12 00:02:44.590 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition order applying {_genkey_0=/api/order/**} to Path
2022-11-12 00:02:44.590 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition order applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:02:44.590 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: order
2022-11-12 00:02:44.590 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition ware applying {_genkey_0=/api/ware/**} to Path
2022-11-12 00:02:44.590 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition ware applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:02:44.590 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: ware
2022-11-12 00:02:44.590 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition oss applying {_genkey_0=/api/oss/**} to Path
2022-11-12 00:02:44.591 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition oss applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:02:44.591 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: oss
2022-11-12 00:02:44.591 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition renren-fast applying {_genkey_0=/api/**} to Path
2022-11-12 00:02:44.591 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition renren-fast applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:02:44.591 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: renren-fast
2022-11-12 00:03:14.599 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition payment-service applying {_genkey_0=/api/payment/**} to Path
2022-11-12 00:03:14.600 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition payment-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:03:14.600 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: payment-service
2022-11-12 00:03:14.600 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition shoppingcart-service applying {_genkey_0=/api/shoppingcart/**} to Path
2022-11-12 00:03:14.600 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition shoppingcart-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:03:14.600 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: shoppingcart-service
2022-11-12 00:03:14.600 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition auth-service applying {_genkey_0=/api/auth/**} to Path
2022-11-12 00:03:14.600 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition auth-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:03:14.601 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: auth-service
2022-11-12 00:03:14.601 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition search-service applying {_genkey_0=/api/search/**} to Path
2022-11-12 00:03:14.601 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition search-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:03:14.601 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: search-service
2022-11-12 00:03:14.601 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition product applying {_genkey_0=/api/product/**} to Path
2022-11-12 00:03:14.602 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition product applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:03:14.602 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: product
2022-11-12 00:03:14.602 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition coupon applying {_genkey_0=/api/coupon/**} to Path
2022-11-12 00:03:14.602 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition coupon applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:03:14.602 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: coupon
2022-11-12 00:03:14.602 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition member applying {_genkey_0=/api/member/**} to Path
2022-11-12 00:03:14.602 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition member applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:03:14.602 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: member
2022-11-12 00:03:14.602 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition order applying {_genkey_0=/api/order/**} to Path
2022-11-12 00:03:14.603 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition order applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:03:14.603 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: order
2022-11-12 00:03:14.603 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition ware applying {_genkey_0=/api/ware/**} to Path
2022-11-12 00:03:14.603 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition ware applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:03:14.603 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: ware
2022-11-12 00:03:14.603 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition oss applying {_genkey_0=/api/oss/**} to Path
2022-11-12 00:03:14.603 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition oss applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:03:14.603 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: oss
2022-11-12 00:03:14.603 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition renren-fast applying {_genkey_0=/api/**} to Path
2022-11-12 00:03:14.604 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition renren-fast applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:03:14.604 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: renren-fast
2022-11-12 00:03:44.615 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition payment-service applying {_genkey_0=/api/payment/**} to Path
2022-11-12 00:03:44.616 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition payment-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:03:44.616 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: payment-service
2022-11-12 00:03:44.616 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition shoppingcart-service applying {_genkey_0=/api/shoppingcart/**} to Path
2022-11-12 00:03:44.616 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition shoppingcart-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:03:44.616 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: shoppingcart-service
2022-11-12 00:03:44.616 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition auth-service applying {_genkey_0=/api/auth/**} to Path
2022-11-12 00:03:44.616 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition auth-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:03:44.616 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: auth-service
2022-11-12 00:03:44.616 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition search-service applying {_genkey_0=/api/search/**} to Path
2022-11-12 00:03:44.616 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition search-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:03:44.616 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: search-service
2022-11-12 00:03:44.616 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition product applying {_genkey_0=/api/product/**} to Path
2022-11-12 00:03:44.618 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition product applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:03:44.618 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: product
2022-11-12 00:03:44.618 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition coupon applying {_genkey_0=/api/coupon/**} to Path
2022-11-12 00:03:44.618 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition coupon applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:03:44.618 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: coupon
